customer_id,segment,region
CU0001,Premium,West
CU0002,Standard,South
CU0003,Premium,South
CU0004,Premium,West
CU0005,Standard,East
CU0006,Business,North
CU0007,Premium,West
CU0008,Premium,South
CU0009,Standard,South
CU0010,Standard,South
CU0011,Standard,North
CU0012,Business,East
CU0013,Standard,East
CU0014,Premium,East
CU0015,Standard,East
CU0016,Standard,East
CU0017,Standard,South
CU0018,Standard,South
CU0019,Premium,South
CU0020,Standard,West
CU0021,Premium,South
CU0022,Standard,East
CU0023,Business,North
CU0024,Premium,West
CU0025,Premium,South
CU0026,Standard,South
CU0027,Standard,South
CU0028,Standard,East
CU0029,Standard,West
CU0030,Premium,North
CU0031,Premium,South
CU0032,Business,West
CU0033,Standard,West
CU0034,Standard,North
CU0035,Standard,North
CU0036,Standard,South
CU0037,Standard,East
CU0038,Standard,South
CU0039,Standard,East
CU0040,Premium,South
CU0041,Standard,South
CU0042,Premium,East
CU0043,Premium,South
CU0044,Standard,West
CU0045,Premium,West
CU0046,Premium,South
CU0047,Standard,North
CU0048,Standard,East
CU0049,Premium,East
CU0050,Standard,South
CU0051,Standard,West
CU0052,Standard,South
CU0053,Premium,South
CU0054,Premium,South
CU0055,Premium,East
CU0056,Premium,East
CU0057,Standard,North
CU0058,Standard,West
CU0059,Standard,West
CU0060,Standard,West
CU0061,Premium,West
CU0062,Standard,West
CU0063,Standard,South
CU0064,Premium,South
CU0065,Standard,East
CU0066,Standard,West
CU0067,Standard,East
CU0068,Standard,South
CU0069,Standard,West
CU0070,Standard,South
CU0071,Standard,South
CU0072,Standard,South
CU0073,Premium,South
CU0074,Standard,East
CU0075,Standard,South
CU0076,Standard,North
CU0077,Standard,West
CU0078,Premium,West
CU0079,Standard,West
CU0080,Premium,South
CU0081,Premium,East
CU0082,Standard,East
CU0083,Premium,North
CU0084,Standard,West
CU0085,Standard,South
CU0086,Standard,East
CU0087,Premium,West
CU0088,Standard,South
CU0089,Standard,West
CU0090,Standard,North
CU0091,Standard,North
CU0092,Premium,North
CU0093,Standard,North
CU0094,Standard,South
CU0095,Standard,East
CU0096,Standard,West
CU0097,Standard,North
CU0098,Standard,South
CU0099,Standard,East
CU0100,Business,South
CU0101,Business,South
CU0102,Premium,West
CU0103,Standard,South
CU0104,Business,South
CU0105,Premium,North
CU0106,Premium,West
CU0107,Standard,East
CU0108,Standard,South
CU0109,Standard,North
CU0110,Business,West
CU0111,Standard,North
CU0112,Standard,North
CU0113,Standard,West
CU0114,Standard,East
CU0115,Standard,West
CU0116,Premium,South
CU0117,Premium,North
CU0118,Premium,East
CU0119,Standard,South
CU0120,Standard,West
CU0121,Standard,East
CU0122,Standard,North
CU0123,Standard,East
CU0124,Standard,West
CU0125,Standard,North
CU0126,Standard,South
CU0127,Standard,East
CU0128,Standard,West
CU0129,Standard,North
CU0130,Standard,West
CU0131,Standard,West
CU0132,Business,North
CU0133,Standard,West
CU0134,Standard,East
CU0135,Standard,West
CU0136,Standard,North
CU0137,Business,West
CU0138,Standard,West
CU0139,Premium,West
CU0140,Standard,South
CU0141,Standard,South
CU0142,Standard,North
CU0143,Business,North
CU0144,Standard,North
CU0145,Standard,South
CU0146,Standard,South
CU0147,Standard,South
CU0148,Standard,North
CU0149,Standard,East
CU0150,Standard,South
CU0151,Premium,North
CU0152,Premium,South
CU0153,Standard,South
CU0154,Standard,South
CU0155,Standard,South
CU0156,Premium,North
CU0157,Standard,East
CU0158,Premium,South
CU0159,Premium,West
CU0160,Premium,North
CU0161,Standard,East
CU0162,Business,North
CU0163,Standard,South
CU0164,Standard,North
CU0165,Standard,South
CU0166,Standard,East
CU0167,Premium,West
CU0168,Premium,North
CU0169,Standard,South
CU0170,Business,West
CU0171,Standard,East
CU0172,Standard,North
CU0173,Standard,West
CU0174,Business,East
CU0175,Standard,East
CU0176,Standard,South
CU0177,Standard,West
CU0178,Business,West
CU0179,Premium,North
CU0180,Premium,South
CU0181,Premium,South
CU0182,Premium,East
CU0183,Standard,East
CU0184,Standard,East
CU0185,Premium,East
CU0186,Premium,North
CU0187,Standard,North
CU0188,Standard,North
CU0189,Premium,West
CU0190,Standard,West
CU0191,Business,South
CU0192,Standard,North
CU0193,Standard,South
CU0194,Premium,South
CU0195,Standard,West
CU0196,Standard,West
CU0197,Standard,South
CU0198,Premium,East
CU0199,Standard,East
CU0200,Standard,South
CU0201,Premium,South
CU0202,Business,South
CU0203,Standard,North
CU0204,Standard,East
CU0205,Standard,South
CU0206,Standard,North
CU0207,Standard,South
CU0208,Premium,West
CU0209,Standard,East
CU0210,Standard,South
CU0211,Premium,South
CU0212,Standard,West
CU0213,Standard,North
CU0214,Premium,East
CU0215,Premium,East
CU0216,Premium,South
CU0217,Standard,South
CU0218,Standard,North
CU0219,Business,South
CU0220,Standard,East
CU0221,Standard,North
CU0222,Standard,South
CU0223,Premium,East
CU0224,Business,South
CU0225,Standard,West
CU0226,Business,West
CU0227,Standard,West
CU0228,Standard,North
CU0229,Standard,North
CU0230,Standard,East
CU0231,Standard,East
CU0232,Standard,West
CU0233,Business,South
CU0234,Standard,North
CU0235,Business,East
CU0236,Premium,South
CU0237,Standard,West
CU0238,Premium,West
CU0239,Standard,South
CU0240,Standard,North
CU0241,Premium,West
CU0242,Premium,North
CU0243,Standard,East
CU0244,Standard,East
CU0245,Standard,West
CU0246,Premium,South
CU0247,Standard,North
CU0248,Standard,North
CU0249,Standard,West
CU0250,Standard,East
CU0251,Premium,South
CU0252,Premium,East
CU0253,Standard,South
CU0254,Standard,South
CU0255,Standard,West
CU0256,Premium,South
CU0257,Premium,South
CU0258,Standard,South
CU0259,Standard,West
CU0260,Standard,North
CU0261,Standard,South
CU0262,Premium,North
CU0263,Standard,East
CU0264,Standard,South
CU0265,Business,South
CU0266,Standard,East
CU0267,Standard,East
CU0268,Standard,West
CU0269,Standard,East
CU0270,Standard,South
CU0271,Standard,West
CU0272,Standard,North
CU0273,Standard,South
CU0274,Standard,North
CU0275,Premium,West
CU0276,Standard,North
CU0277,Standard,West
CU0278,Standard,West
CU0279,Premium,South
CU0280,Premium,South
CU0281,Standard,North
CU0282,Standard,South
CU0283,Standard,South
CU0284,Standard,South
CU0285,Standard,South
CU0286,Standard,East
CU0287,Standard,West
CU0288,Standard,East
CU0289,Standard,South
CU0290,Standard,North
CU0291,Premium,West
CU0292,Standard,West
CU0293,Business,East
CU0294,Standard,East
CU0295,Premium,East
CU0296,Business,South
CU0297,Business,South
CU0298,Premium,North
CU0299,Premium,South
CU0300,Standard,North
CU0301,Premium,West
CU0302,Standard,West
CU0303,Standard,East
CU0304,Standard,North
CU0305,Premium,South
CU0306,Standard,South
CU0307,Standard,North
CU0308,Standard,West
CU0309,Standard,South
CU0310,Standard,West
CU0311,Standard,North
CU0312,Standard,East
CU0313,Standard,West
CU0314,Standard,West
CU0315,Standard,South
CU0316,Standard,West
CU0317,Standard,South
CU0318,Premium,West
CU0319,Standard,North
CU0320,Business,South
CU0321,Business,South
CU0322,Standard,South
CU0323,Standard,East
CU0324,Standard,North
CU0325,Premium,South
CU0326,Premium,East
CU0327,Premium,West
CU0328,Standard,West
CU0329,Standard,East
CU0330,Standard,South
CU0331,Premium,South
CU0332,Standard,West
CU0333,Premium,South
CU0334,Premium,North
CU0335,Standard,South
CU0336,Standard,South
CU0337,Standard,South
CU0338,Premium,West
CU0339,Standard,South
CU0340,Business,South
CU0341,Standard,East
CU0342,Business,South
CU0343,Premium,West
CU0344,Standard,South
CU0345,Premium,West
CU0346,Premium,South
CU0347,Business,North
CU0348,Standard,South
CU0349,Standard,East
CU0350,Standard,East
CU0351,Standard,South
CU0352,Standard,South
CU0353,Standard,South
CU0354,Standard,North
CU0355,Standard,South
CU0356,Standard,East
CU0357,Premium,North
CU0358,Premium,East
CU0359,Standard,West
CU0360,Standard,East
CU0361,Business,South
CU0362,Standard,West
CU0363,Standard,South
CU0364,Standard,East
CU0365,Premium,West
CU0366,Standard,North
CU0367,Premium,South
CU0368,Premium,East
CU0369,Standard,West
CU0370,Premium,West
CU0371,Premium,East
CU0372,Standard,West
CU0373,Standard,West
CU0374,Standard,West
CU0375,Standard,South
CU0376,Standard,South
CU0377,Business,South
CU0378,Standard,South
CU0379,Standard,East
CU0380,Premium,West
CU0381,Standard,West
CU0382,Business,West
CU0383,Premium,West
CU0384,Standard,North
CU0385,Standard,East
CU0386,Business,East
CU0387,Premium,West
CU0388,Business,South
CU0389,Standard,West
CU0390,Premium,West
CU0391,Standard,West
CU0392,Standard,North
CU0393,Standard,West
CU0394,Premium,South
CU0395,Standard,West
CU0396,Standard,West
CU0397,Premium,South
CU0398,Standard,South
CU0399,Standard,North
CU0400,Standard,West
CU0401,Standard,South
CU0402,Business,West
CU0403,Premium,North
CU0404,Standard,South
CU0405,Business,East
CU0406,Premium,East
CU0407,Standard,North
CU0408,Premium,North
CU0409,Standard,South
CU0410,Business,East
CU0411,Premium,West
CU0412,Premium,East
CU0413,Standard,West
CU0414,Premium,South
CU0415,Standard,South
CU0416,Standard,North
CU0417,Standard,West
CU0418,Premium,South
CU0419,Standard,North
CU0420,Business,East
CU0421,Premium,West
CU0422,Standard,West
CU0423,Standard,South
CU0424,Standard,North
CU0425,Standard,South
CU0426,Premium,East
CU0427,Standard,West
CU0428,Premium,West
CU0429,Standard,South
CU0430,Premium,South
CU0431,Business,North
CU0432,Premium,West
CU0433,Premium,West
CU0434,Premium,East
CU0435,Standard,East
CU0436,Standard,East
CU0437,Standard,South
CU0438,Standard,North
CU0439,Premium,East
CU0440,Standard,West
CU0441,Premium,South
CU0442,Standard,East
CU0443,Premium,West
CU0444,Standard,West
CU0445,Standard,East
CU0446,Premium,North
CU0447,Business,West
CU0448,Standard,West
CU0449,Standard,West
CU0450,Standard,South
CU0451,Standard,North
CU0452,Premium,East
CU0453,Premium,South
CU0454,Standard,South
CU0455,Standard,East
CU0456,Standard,South
CU0457,Business,West
CU0458,Standard,West
CU0459,Premium,North
CU0460,Standard,South
CU0461,Standard,North
CU0462,Standard,West
CU0463,Business,North
CU0464,Standard,South
CU0465,Standard,West
CU0466,Premium,West
CU0467,Standard,South
CU0468,Business,South
CU0469,Standard,South
CU0470,Standard,West
CU0471,Standard,South
CU0472,Standard,East
CU0473,Standard,West
CU0474,Standard,North
CU0475,Standard,East
CU0476,Standard,South
CU0477,Standard,North
CU0478,Standard,East
CU0479,Standard,North
CU0480,Standard,West
CU0481,Standard,West
CU0482,Standard,South
CU0483,Standard,West
CU0484,Standard,East
CU0485,Standard,East
CU0486,Standard,South
CU0487,Standard,North
CU0488,Standard,South
CU0489,Standard,East
CU0490,Standard,South
CU0491,Premium,East
CU0492,Standard,East
CU0493,Premium,South
CU0494,Standard,South
CU0495,Premium,East
CU0496,Standard,South
CU0497,Standard,West
CU0498,Standard,East
CU0499,Standard,West
CU0500,Standard,West
CU0501,Premium,West
CU0502,Premium,South
CU0503,Business,East
CU0504,Standard,South
CU0505,Standard,South
CU0506,Premium,South
CU0507,Standard,East
CU0508,Premium,South
CU0509,Standard,East
CU0510,Standard,North
CU0511,Standard,East
CU0512,Premium,East
CU0513,Standard,East
CU0514,Standard,East
CU0515,Standard,South
CU0516,Standard,North
CU0517,Standard,West
CU0518,Premium,West
CU0519,Standard,East
CU0520,Premium,East
CU0521,Premium,North
CU0522,Standard,West
CU0523,Standard,West
CU0524,Standard,West
CU0525,Standard,West
CU0526,Standard,West
CU0527,Business,South
CU0528,Business,South
CU0529,Premium,North
CU0530,Standard,West
CU0531,Premium,East
CU0532,Premium,North
CU0533,Standard,South
CU0534,Standard,South
CU0535,Standard,South
CU0536,Standard,East
CU0537,Standard,South
CU0538,Standard,West
CU0539,Standard,East
CU0540,Premium,East
CU0541,Business,South
CU0542,Standard,South
CU0543,Premium,South
CU0544,Business,South
CU0545,Standard,South
CU0546,Standard,West
CU0547,Standard,East
CU0548,Standard,West
CU0549,Premium,North
CU0550,Standard,South
CU0551,Standard,North
CU0552,Standard,North
CU0553,Standard,East
CU0554,Business,East
CU0555,Standard,West
CU0556,Standard,South
CU0557,Standard,South
CU0558,Standard,West
CU0559,Standard,East
CU0560,Standard,West
