ticket_id,customer_id,agent_id,category_id,channel,created_at,resolved_at,resolution_hours,sla_met,escalated,csat_score,status
T00001,CU0126,A007,C04,Web,2025-06-12 13:00:00,2025-06-13 02:55:01.604676187,13.92,1,0,5,Resolved
T00002,CU0565,A001,C01,Chat,2025-08-11 09:00:00,2025-08-11 18:07:27.891773745,9.12,1,0,5,Resolved
T00003,CU0459,A008,C04,Chat,2025-02-26 17:00:00,2025-02-27 04:30:58.297048660,11.52,1,1,5,Resolved
T00004,CU0697,A001,C02,Chat,2025-08-16 18:00:00,2025-08-18 04:51:53.438705514,34.86,0,1,4,Resolved
T00005,CU0133,A011,C01,Web,2025-12-04 17:00:00,2025-12-05 07:06:08.466453838,14.1,0,0,5,Resolved
T00006,CU0288,A011,C04,Chat,2025-02-19 17:00:00,2025-02-20 10:54:56.691505569,17.92,1,0,5,Resolved
T00007,CU0109,A007,C05,Chat,2025-04-30 11:00:00,2025-05-01 15:44:23.374366234,28.74,1,0,5,Resolved
T00008,CU0278,A003,C06,Chat,2025-09-11 14:00:00,2025-09-12 04:24:57.942313671,14.42,1,0,5,Resolved
T00009,CU0865,A010,C06,Email,2025-08-14 09:00:00,2025-08-15 20:19:25.761981572,35.32,1,0,4,Resolved
T00010,CU0808,A001,C06,Chat,2025-09-04 12:00:00,2025-09-05 14:50:49.707670952,26.85,1,0,5,Resolved
T00011,CU0447,A005,C06,Email,2025-07-24 14:00:00,2025-07-26 01:37:07.743391586,35.62,1,0,4,Resolved
T00012,CU0090,A018,C05,Chat,2025-09-07 16:00:00,2025-09-09 02:37:04.431256590,34.62,1,0,5,Resolved
T00013,CU0896,A017,C01,Chat,2025-08-11 09:00:00,2025-08-11 19:08:41.551197561,10.14,1,0,4,Resolved
T00014,CU0142,A012,C05,Chat,2025-01-28 18:00:00,2025-01-29 13:25:12.678741692,19.42,1,0,5,Resolved
T00015,CU0092,A007,C01,Email,2025-10-02 13:00:00,2025-10-02 17:29:44.476476162,4.5,1,0,5,Resolved
T00016,CU0370,A001,C01,Chat,2025-06-13 19:00:00,2025-06-14 08:52:08.229003639,13.87,0,0,5,Resolved
T00017,CU0848,A012,C02,Web,2025-01-19 14:00:00,2025-01-19 23:02:58.261769401,9.05,1,0,5,Resolved
T00018,CU0719,A009,C06,Chat,2025-05-30 15:00:00,2025-05-31 16:00:13.431825082,25.0,1,0,4,Resolved
T00019,CU0324,A013,C05,Email,2025-06-08 17:00:00,2025-06-10 16:37:57.614590671,47.63,1,0,4,Resolved
T00020,CU0410,A003,C06,Chat,2025-02-01 18:00:00,2025-02-03 07:43:28.598042996,37.72,0,0,5,Resolved
T00021,CU0055,A015,C06,Chat,2025-12-30 10:00:00,2025-12-31 21:45:00.932813269,35.75,1,0,3,Resolved
T00022,CU0244,A015,C06,Web,2025-03-23 14:00:00,2025-03-24 18:39:01.269994683,28.65,1,0,4,Resolved
T00023,CU0604,A008,C01,Email,2025-05-01 08:00:00,2025-05-01 19:04:52.042821844,11.08,1,0,5,Resolved
T00024,CU0379,A001,C06,Email,2025-06-10 14:00:00,2025-06-12 12:22:30.828677307,46.38,0,0,4,Resolved
T00025,CU0881,A009,C06,Email,2025-10-31 18:00:00,2025-11-02 00:16:09.697351432,30.27,1,0,5,Resolved
T00026,CU0401,A007,C06,Chat,2025-09-29 19:00:00,2025-09-30 11:31:08.284134136,16.52,1,0,5,Resolved
T00027,CU0763,A014,C02,Web,2025-10-09 11:00:00,2025-10-09 22:02:11.774480085,11.04,1,0,4,Resolved
T00028,CU0655,A005,C01,Chat,2025-03-28 13:00:00,2025-03-28 23:56:39.058473901,10.94,1,0,4,Resolved
T00029,CU0457,A001,C06,Web,2025-11-05 15:00:00,2025-11-06 09:51:11.519588667,18.85,1,0,4,Resolved
T00030,CU0782,A018,C02,Email,2025-10-30 13:00:00,2025-11-01 00:24:31.115849734,35.41,0,1,3,Resolved
T00031,CU0784,A005,C03,Chat,2025-06-19 10:00:00,2025-06-20 02:31:24.529291996,16.52,1,0,5,Resolved
T00032,CU0290,A002,C04,Email,2025-07-19 11:00:00,2025-07-20 01:37:50.269134295,14.63,1,0,4,Resolved
T00033,CU0251,A016,C01,Web,2025-01-14 13:00:00,2025-01-15 05:11:25.953843055,16.19,0,1,3,Resolved
T00034,CU0638,A013,C01,Chat,2025-10-05 14:00:00,2025-10-05 21:22:05.139226182,7.37,1,0,4,Resolved
T00035,CU0025,A005,C06,Chat,2025-12-17 19:00:00,2025-12-19 04:01:04.619609176,33.02,1,1,5,Resolved
T00036,CU0632,A009,C06,Email,2025-06-22 15:00:00,2025-06-24 04:28:04.011913704,37.47,0,0,4,Resolved
T00037,CU0392,A013,C06,Chat,2025-07-17 13:00:00,2025-07-18 12:44:59.734302036,23.75,1,1,4,Resolved
T00038,CU0691,A015,C03,Chat,2025-07-02 16:00:00,2025-07-03 11:08:17.720574619,19.14,1,0,4,Resolved
T00039,CU0118,A007,C02,Email,2025-01-31 18:00:00,2025-02-01 14:19:53.759016710,20.33,1,0,4,Resolved
T00040,CU0518,A004,C04,Web,2025-08-15 13:00:00,2025-08-16 03:30:06.617712052,14.5,1,0,5,Resolved
T00041,CU0483,A001,C04,Email,2025-09-21 14:00:00,2025-09-22 17:15:00.200620152,27.25,0,0,5,Resolved
T00042,CU0014,A016,C01,Web,2025-12-05 10:00:00,2025-12-05 14:48:08.831840749,4.8,1,1,4,Resolved
T00043,CU0473,A015,C06,Chat,2025-12-06 19:00:00,2025-12-07 06:41:08.905233033,11.69,1,0,4,Resolved
T00044,CU0591,A018,C06,Chat,2025-06-29 19:00:00,2025-07-01 14:07:27.320523330,43.12,0,1,3,Resolved
T00045,CU0365,A014,C04,Chat,2025-12-17 10:00:00,2025-12-18 02:14:25.823215672,16.24,1,0,5,Resolved
T00046,CU0552,A004,C03,Chat,2025-07-12 12:00:00,2025-07-13 07:56:51.509623873,19.95,1,0,4,Resolved
T00047,CU0294,A005,C03,Email,2025-08-23 11:00:00,2025-08-24 13:03:21.865837338,26.06,0,0,5,Resolved
T00048,CU0551,A005,C01,Chat,2025-08-08 19:00:00,2025-08-09 09:19:11.360656729,14.32,0,0,5,Resolved
T00049,CU0220,A009,C02,Chat,2025-12-31 08:00:00,2025-12-31 17:42:24.207998544,9.71,1,0,4,Resolved
T00050,CU0254,A018,C04,Email,2025-09-27 10:00:00,2025-09-27 20:14:37.714570429,10.24,1,0,5,Resolved
T00051,CU0064,A013,C04,Email,2025-02-13 12:00:00,2025-02-13 23:58:49.443119389,11.98,1,0,5,Resolved
T00052,CU0089,A008,C04,Email,2025-01-27 15:00:00,,16.52,1,0,5,Open
T00053,CU0122,A014,C06,Email,2025-05-30 11:00:00,2025-05-31 05:02:53.527143040,18.05,1,1,5,Resolved
T00054,CU0171,A016,C02,Web,2025-07-08 14:00:00,2025-07-09 06:23:34.006771572,16.39,1,0,4,Resolved
T00055,CU0647,A008,C01,Email,2025-09-02 17:00:00,2025-09-03 02:10:27.117974308,9.17,1,0,5,Resolved
T00056,CU0195,A016,C01,Web,2025-06-25 18:00:00,2025-06-26 03:39:19.641418174,9.66,1,0,5,Resolved
T00057,CU0320,A001,C01,Web,2025-07-07 09:00:00,2025-07-07 19:11:59.986517049,10.2,1,0,4,Resolved
T00058,CU0157,A006,C05,Web,2025-12-03 09:00:00,2025-12-04 09:14:53.275923247,24.25,1,0,4,Resolved
T00059,CU0382,A004,C06,Chat,2025-05-03 09:00:00,2025-05-05 04:50:53.008123563,43.85,0,0,4,Resolved
T00060,CU0221,A004,C06,Email,2025-06-30 19:00:00,2025-07-01 14:36:48.024788616,19.61,1,0,5,Resolved
T00061,CU0296,A004,C05,Chat,2025-07-23 16:00:00,2025-07-25 09:03:18.846349023,41.06,1,0,4,Resolved
T00062,CU0062,A007,C03,Chat,2025-06-20 14:00:00,2025-06-20 22:18:23.431908380,8.31,1,0,5,Resolved
T00063,CU0455,A014,C02,Email,2025-12-20 18:00:00,2025-12-21 06:23:18.953259907,12.39,1,1,5,Resolved
T00064,CU0243,A011,C03,Chat,2025-12-18 15:00:00,2025-12-19 17:09:42.301580184,26.16,0,1,3,Resolved
T00065,CU0587,A008,C03,Email,2025-07-07 11:00:00,2025-07-08 12:08:13.511120513,25.14,0,0,4,Resolved
T00066,CU0899,A009,C06,Email,2025-06-14 14:00:00,2025-06-15 22:44:31.177954039,32.74,1,0,5,Resolved
T00067,CU0437,A004,C04,Chat,2025-08-03 17:00:00,2025-08-04 11:02:30.875645623,18.04,0,0,5,Resolved
T00068,CU0461,A014,C02,Web,2025-03-08 08:00:00,2025-03-09 19:49:14.869125652,35.82,0,0,4,Resolved
T00069,CU0748,A014,C03,Email,2025-06-05 15:00:00,2025-06-06 03:08:31.477785421,12.14,1,0,5,Resolved
T00070,CU0310,A010,C01,Email,2025-03-21 14:00:00,2025-03-21 17:51:36.467937021,3.86,1,0,5,Resolved
T00071,CU0127,A015,C06,Chat,2025-02-22 08:00:00,2025-02-22 23:34:55.793194582,15.58,1,0,5,Resolved
T00072,CU0649,A015,C01,Web,2025-02-04 11:00:00,2025-02-04 16:49:43.408646752,5.83,1,0,4,Resolved
T00073,CU0585,A015,C01,Chat,2025-08-03 13:00:00,2025-08-03 19:36:18.655334503,6.61,1,0,5,Resolved
T00074,CU0423,A002,C02,Web,2025-01-01 12:00:00,2025-01-02 02:36:09.628945750,14.6,1,0,5,Resolved
T00075,CU0349,A002,C06,Chat,2025-08-24 11:00:00,2025-08-27 05:21:00.307651816,66.35,0,0,3,Resolved
T00076,CU0027,A008,C04,Chat,2025-06-07 16:00:00,,21.99,0,0,5,Open
T00077,CU0502,A002,C05,Chat,2025-05-14 13:00:00,2025-05-16 03:53:50.446753893,38.9,1,0,5,Resolved
T00078,CU0493,A001,C03,Email,2025-10-08 14:00:00,2025-10-10 10:33:27.858355336,44.56,0,0,4,Resolved
T00079,CU0465,A003,C01,Web,2025-07-16 18:00:00,2025-07-17 02:43:21.874532466,8.72,1,0,4,Resolved
T00080,CU0274,A003,C06,Email,2025-09-25 09:00:00,2025-09-26 07:05:51.250678994,22.1,1,1,4,Resolved
T00081,CU0137,A006,C02,Email,2025-09-16 12:00:00,2025-09-17 16:47:05.287052328,28.78,0,0,4,Resolved
T00082,CU0515,A006,C01,Chat,2025-01-12 08:00:00,2025-01-12 11:29:51.322810120,3.5,1,0,4,Resolved
T00083,CU0559,A015,C05,Web,2025-03-20 20:00:00,2025-03-21 18:04:13.320821153,22.07,1,0,3,Resolved
T00084,CU0156,A017,C01,Chat,2025-07-28 10:00:00,2025-07-28 22:56:25.343275009,12.94,0,0,5,Resolved
T00085,CU0109,A004,C01,Web,2025-12-23 18:00:00,2025-12-24 01:38:23.237392848,7.64,1,0,4,Resolved
T00086,CU0435,A007,C06,Email,2025-02-26 10:00:00,2025-02-27 08:56:29.365646442,22.94,1,0,5,Resolved
T00087,CU0044,A010,C04,Chat,2025-02-08 12:00:00,2025-02-08 18:27:57.182839491,6.47,1,0,5,Resolved
T00088,CU0175,A005,C02,Chat,2025-12-10 15:00:00,2025-12-11 04:55:55.596321260,13.93,1,0,5,Resolved
T00089,CU0573,A006,C03,Email,2025-12-19 18:00:00,2025-12-20 20:42:19.023894043,26.71,0,0,5,Resolved
T00090,CU0269,A013,C05,Web,2025-03-03 10:00:00,2025-03-04 17:16:47.307603604,31.28,1,0,5,Resolved
T00091,CU0415,A008,C01,Email,2025-05-27 10:00:00,2025-05-27 15:30:21.629516781,5.51,1,0,5,Resolved
T00092,CU0619,A013,C01,Web,2025-08-17 19:00:00,2025-08-18 00:50:27.753444938,5.84,1,0,4,Resolved
T00093,CU0160,A002,C05,Web,2025-03-13 12:00:00,2025-03-14 09:32:05.234329798,21.53,1,0,4,Resolved
T00094,CU0205,A009,C05,Chat,2025-04-30 10:00:00,2025-05-01 22:59:09.324435062,36.99,1,0,4,Resolved
T00095,CU0268,A006,C06,Email,2025-05-25 17:00:00,2025-05-26 22:10:49.397130404,29.18,1,0,4,Resolved
T00096,CU0376,A006,C03,Email,2025-08-23 09:00:00,2025-08-24 03:31:01.657058030,18.52,1,1,4,Resolved
T00097,CU0504,A009,C01,Chat,2025-04-23 19:00:00,2025-04-23 21:57:29.720495426,2.96,1,0,5,Resolved
T00098,CU0066,A006,C04,Email,2025-05-31 19:00:00,2025-06-01 08:17:18.696486382,13.29,1,0,5,Resolved
T00099,CU0427,A014,C05,Chat,2025-04-16 19:00:00,2025-04-17 15:41:51.443708028,20.7,1,0,4,Resolved
T00100,CU0619,A004,C01,Email,2025-10-05 11:00:00,2025-10-05 21:54:29.710742518,10.91,1,0,3,Resolved
T00101,CU0767,A017,C04,Email,2025-02-25 09:00:00,2025-02-25 18:32:58.474871480,9.55,1,1,4,Resolved
T00102,CU0486,A007,C02,Web,2025-03-26 13:00:00,2025-03-26 21:58:31.912520703,8.98,1,0,4,Resolved
T00103,CU0564,A010,C06,Chat,2025-04-02 12:00:00,2025-04-03 14:47:02.254289272,26.78,1,0,4,Resolved
T00104,CU0733,A004,C06,Email,2025-11-27 20:00:00,2025-11-30 20:13:44.101251904,72.23,0,0,4,Resolved
T00105,CU0655,A017,C04,Chat,2025-12-11 16:00:00,2025-12-12 07:24:32.789112577,15.41,1,0,5,Resolved
T00106,CU0482,A012,C06,Email,2025-07-02 20:00:00,2025-07-04 12:08:49.389061599,40.15,0,0,5,Resolved
T00107,CU0510,A014,C06,Chat,2025-02-27 17:00:00,2025-02-28 22:22:52.743324558,29.38,1,0,5,Resolved
T00108,CU0895,A017,C01,Email,2025-10-03 17:00:00,2025-10-03 20:38:16.869726441,3.64,1,0,5,Resolved
T00109,CU0682,A018,C03,Web,2025-06-29 09:00:00,2025-06-29 19:15:32.577575540,10.26,1,0,5,Resolved
T00110,CU0218,A005,C05,Chat,2025-11-07 08:00:00,2025-11-07 18:00:53.468066674,10.01,1,0,5,Resolved
T00111,CU0409,A006,C01,Chat,2025-05-12 08:00:00,2025-05-13 01:25:28.672496238,17.42,0,0,4,Resolved
T00112,CU0668,A005,C03,Chat,2025-12-31 15:00:00,2026-01-02 00:48:09.279024134,33.8,0,0,4,Resolved
T00113,CU0470,A010,C02,Email,2025-10-22 10:00:00,2025-10-23 02:42:25.072079493,16.71,1,0,4,Resolved
T00114,CU0390,A017,C06,Chat,2025-03-23 20:00:00,2025-03-24 22:34:01.943819356,26.57,1,0,5,Resolved
T00115,CU0548,A014,C04,Chat,2025-09-22 09:00:00,2025-09-22 16:00:15.873451113,7.0,1,0,4,Resolved
T00116,CU0339,A011,C06,Chat,2025-04-15 20:00:00,2025-04-16 18:39:02.527031138,22.65,1,0,4,Resolved
T00117,CU0611,A009,C03,Chat,2025-05-08 16:00:00,2025-05-10 14:27:44.165761164,46.46,0,1,4,Resolved
T00118,CU0659,A014,C01,Chat,2025-04-02 09:00:00,2025-04-02 17:29:14.518700912,8.49,1,0,4,Resolved
T00119,CU0809,A009,C06,Email,2025-09-07 08:00:00,2025-09-08 13:17:14.855306168,29.29,1,0,3,Resolved
T00120,CU0861,A017,C01,Email,2025-04-06 13:00:00,2025-04-06 16:37:35.945059404,3.63,1,0,4,Resolved
T00121,CU0641,A011,C01,Email,2025-08-22 12:00:00,2025-08-23 07:03:25.523058805,19.06,0,0,5,Resolved
T00122,CU0681,A012,C03,Chat,2025-08-01 12:00:00,2025-08-02 09:05:04.013135350,21.08,1,0,4,Resolved
T00123,CU0696,A013,C05,Web,2025-10-02 14:00:00,2025-10-03 04:03:42.230407690,14.06,1,0,5,Resolved
T00124,CU0298,A014,C03,Chat,2025-12-29 09:00:00,2025-12-29 20:12:55.680366603,11.22,1,0,5,Resolved
T00125,CU0824,A009,C01,Web,2025-01-04 09:00:00,2025-01-04 13:30:07.648806013,4.5,1,0,5,Resolved
T00126,CU0459,A007,C03,Email,2025-12-28 17:00:00,2025-12-29 09:01:17.237769279,16.02,1,0,4,Resolved
T00127,CU0781,A008,C02,Chat,2025-02-09 20:00:00,2025-02-10 11:22:08.807899944,15.37,1,0,4,Resolved
T00128,CU0196,A017,C01,Email,2025-07-12 11:00:00,2025-07-12 19:09:53.918116178,8.16,1,0,4,Resolved
T00129,CU0280,A002,C04,Chat,2025-05-05 20:00:00,2025-05-06 11:36:16.588011506,15.6,1,0,5,Resolved
T00130,CU0559,A013,C01,Web,2025-08-22 12:00:00,2025-08-22 22:36:34.688952367,10.61,1,0,5,Resolved
T00131,CU0521,A018,C03,Email,2025-09-21 12:00:00,2025-09-22 23:05:48.990086977,35.1,0,0,5,Resolved
T00132,CU0363,A002,C05,Chat,2025-11-10 09:00:00,2025-11-11 11:23:49.152677114,26.4,1,0,5,Resolved
T00133,CU0199,A012,C05,Chat,2025-05-27 13:00:00,2025-06-01 15:02:39.316256469,122.04,0,0,4,Resolved
T00134,CU0206,A011,C02,Email,2025-12-07 14:00:00,2025-12-08 00:51:34.087843659,10.86,1,0,4,Resolved
T00135,CU0655,A007,C03,Chat,2025-04-28 16:00:00,2025-04-29 03:19:17.859539650,11.32,1,0,5,Resolved
T00136,CU0019,A002,C02,Chat,2025-03-16 10:00:00,2025-03-16 18:49:18.357769552,8.82,1,0,5,Resolved
T00137,CU0108,A013,C06,Web,2025-05-19 10:00:00,2025-05-20 13:44:16.804236901,27.74,1,1,5,Resolved
T00138,CU0833,A010,C02,Chat,2025-07-12 13:00:00,2025-07-12 21:15:56.869476778,8.27,1,0,5,Resolved
T00139,CU0882,A014,C02,Chat,2025-09-01 08:00:00,2025-09-02 04:27:35.920948431,20.46,1,0,3,Resolved
T00140,CU0071,A002,C04,Chat,2025-10-31 09:00:00,2025-10-31 13:40:01.067431101,4.67,1,0,4,Resolved
T00141,CU0129,A017,C02,Email,2025-03-24 16:00:00,2025-03-25 07:03:23.370393985,15.06,1,0,4,Resolved
T00142,CU0297,A012,C02,Email,2025-04-21 20:00:00,2025-04-22 03:37:17.971912556,7.62,1,0,4,Resolved
T00143,CU0528,A008,C01,Email,2025-12-09 15:00:00,2025-12-09 21:44:19.137579727,6.74,1,0,5,Resolved
T00144,CU0172,A009,C05,Web,2025-06-10 09:00:00,2025-06-12 01:41:31.034635436,40.69,1,0,5,Resolved
T00145,CU0885,A018,C05,Chat,2025-03-30 20:00:00,2025-04-04 06:39:39.385071392,106.66,0,1,2,Resolved
T00146,CU0445,A010,C05,Chat,2025-12-26 14:00:00,2025-12-27 09:05:04.920220622,19.08,1,0,5,Resolved
T00147,CU0484,A011,C06,Chat,2025-06-13 17:00:00,2025-06-14 16:21:53.478198226,23.36,1,0,5,Resolved
T00148,CU0176,A012,C03,Chat,2025-12-26 10:00:00,2025-12-26 22:16:28.111656997,12.27,1,0,5,Resolved
T00149,CU0277,A006,C06,Chat,2025-12-02 15:00:00,2025-12-03 07:54:07.335177897,16.9,1,0,5,Resolved
T00150,CU0663,A005,C05,Chat,2025-11-27 08:00:00,2025-11-28 11:24:54.962852306,27.42,1,1,4,Resolved
T00151,CU0570,A014,C06,Email,2025-08-01 16:00:00,2025-08-03 22:42:42.646833201,54.71,0,0,4,Resolved
T00152,CU0203,A006,C05,Chat,2025-10-19 10:00:00,2025-10-20 16:21:45.506083140,30.36,1,1,4,Resolved
T00153,CU0398,A001,C03,Web,2025-12-17 19:00:00,2025-12-19 17:46:39.293046822,46.78,0,0,4,Resolved
T00154,CU0167,A009,C03,Web,2025-04-09 08:00:00,2025-04-10 04:29:58.459298240,20.5,1,0,5,Resolved
T00155,CU0367,A001,C04,Chat,2025-01-14 16:00:00,2025-01-14 22:58:56.584147792,6.98,1,0,5,Resolved
T00156,CU0196,A011,C01,Web,2025-04-28 09:00:00,2025-04-28 15:46:58.915446268,6.78,1,0,4,Resolved
T00157,CU0882,A012,C04,Email,2025-08-21 16:00:00,2025-08-22 01:48:54.437348707,9.82,1,0,5,Resolved
T00158,CU0268,A017,C01,Chat,2025-07-19 14:00:00,2025-07-20 04:40:39.887939442,14.68,0,0,4,Resolved
T00159,CU0427,A011,C01,Email,2025-01-30 20:00:00,2025-01-30 23:49:35.953079052,3.83,1,0,5,Resolved
T00160,CU0578,A007,C06,Chat,2025-07-24 16:00:00,2025-07-25 12:39:07.947420901,20.65,1,0,5,Resolved
T00161,CU0037,A012,C05,Chat,2025-03-05 12:00:00,2025-03-06 16:58:51.794780991,28.98,1,1,3,Resolved
T00162,CU0189,A011,C04,Web,2025-07-04 09:00:00,2025-07-05 04:08:44.744715668,19.15,0,0,4,Resolved
T00163,CU0891,A014,C03,Email,2025-07-30 15:00:00,2025-08-01 04:53:59.922716258,37.9,0,0,5,Resolved
T00164,CU0628,A017,C05,Chat,2025-08-21 13:00:00,2025-08-25 23:19:13.206084913,106.32,0,1,2,Resolved
T00165,CU0218,A002,C06,Email,2025-05-31 08:00:00,2025-06-01 15:43:50.730453015,31.73,1,0,4,Resolved
T00166,CU0388,A013,C05,Web,2025-05-30 15:00:00,2025-05-31 20:51:53.966341648,29.86,1,0,5,Resolved
T00167,CU0772,A015,C05,Chat,2025-09-05 10:00:00,2025-09-08 04:56:59.340642093,66.95,0,0,3,Resolved
T00168,CU0178,A006,C04,Chat,2025-10-01 11:00:00,2025-10-01 17:34:20.425454774,6.57,1,0,4,Resolved
T00169,CU0270,A008,C03,Chat,2025-10-22 08:00:00,2025-10-22 15:24:43.661242465,7.41,1,0,5,Resolved
T00170,CU0217,A008,C05,Web,2025-05-02 12:00:00,2025-05-04 01:43:50.523771234,37.73,1,0,4,Resolved
T00171,CU0599,A007,C06,Email,2025-06-04 10:00:00,2025-06-05 01:54:00.081734486,15.9,1,0,5,Resolved
T00172,CU0475,A016,C04,Chat,2025-05-01 08:00:00,2025-05-01 18:40:53.168134994,10.68,1,0,4,Resolved
T00173,CU0451,A006,C03,Email,2025-07-12 13:00:00,2025-07-13 11:57:48.565301713,22.96,1,0,5,Resolved
T00174,CU0341,A008,C04,Chat,2025-02-16 10:00:00,2025-02-16 22:17:57.777733348,12.3,1,0,5,Resolved
T00175,CU0296,A011,C04,Chat,2025-06-06 09:00:00,2025-06-07 01:46:30.711535892,16.78,1,0,3,Resolved
T00176,CU0463,A005,C06,Web,2025-03-10 14:00:00,2025-03-12 02:21:15.109394641,36.35,0,0,5,Resolved
T00177,CU0720,A013,C05,Email,2025-07-14 08:00:00,2025-07-16 22:21:44.658006789,62.36,0,1,3,Resolved
T00178,CU0732,A010,C03,Chat,2025-11-07 20:00:00,2025-11-08 09:56:01.124448439,13.93,1,0,5,Resolved
T00179,CU0707,A004,C03,Web,2025-12-26 14:00:00,2025-12-27 07:50:40.903206882,17.84,1,0,5,Resolved
T00180,CU0042,A004,C04,Chat,2025-06-12 20:00:00,2025-06-13 04:24:41.423259682,8.41,1,0,5,Resolved
T00181,CU0442,A001,C01,Chat,2025-01-21 19:00:00,2025-01-22 02:19:23.549945278,7.32,1,0,4,Resolved
T00182,CU0355,A011,C04,Chat,2025-03-25 20:00:00,2025-03-27 07:43:58.630433937,35.73,0,0,4,Resolved
T00183,CU0842,A015,C06,Chat,2025-02-08 15:00:00,2025-02-09 18:08:09.593225840,27.14,1,0,4,Resolved
T00184,CU0374,A018,C05,Email,2025-10-05 13:00:00,2025-10-07 02:57:44.813012364,37.96,1,0,4,Resolved
T00185,CU0223,A012,C02,Chat,2025-12-26 17:00:00,2025-12-27 03:11:30.757459898,10.19,1,0,5,Resolved
T00186,CU0226,A018,C05,Chat,2025-07-22 09:00:00,2025-07-25 11:05:54.458381490,74.1,0,0,4,Resolved
T00187,CU0176,A018,C05,Web,2025-03-06 18:00:00,2025-03-08 13:38:45.310044908,43.65,1,0,3,Resolved
T00188,CU0398,A012,C02,Chat,2025-01-08 12:00:00,2025-01-09 07:46:26.260171190,19.77,1,0,4,Resolved
T00189,CU0238,A007,C05,Chat,2025-12-23 08:00:00,2025-12-25 01:39:35.653321360,41.66,1,1,4,Resolved
T00190,CU0510,A016,C05,Chat,2025-04-26 11:00:00,2025-04-28 23:13:59.500703769,60.23,0,1,3,Resolved
T00191,CU0208,A012,C06,Web,2025-02-10 11:00:00,2025-02-12 17:03:14.687066188,54.05,0,1,3,Resolved
T00192,CU0527,A015,C01,Chat,2025-03-06 08:00:00,2025-03-06 17:05:12.913259388,9.09,1,0,5,Resolved
T00193,CU0555,A005,C02,Chat,2025-04-04 16:00:00,2025-04-05 05:17:46.486955490,13.3,1,0,4,Resolved
T00194,CU0603,A018,C04,Web,2025-08-28 09:00:00,2025-08-29 06:03:31.207789933,21.06,0,0,3,Resolved
T00195,CU0795,A008,C01,Chat,2025-11-22 19:00:00,2025-11-23 00:19:33.306000718,5.33,1,0,4,Resolved
T00196,CU0070,A016,C04,Web,2025-04-11 13:00:00,2025-04-11 20:57:47.010221470,7.96,1,0,5,Resolved
T00197,CU0048,A007,C06,Email,2025-09-08 17:00:00,2025-09-10 05:51:54.344464606,36.87,0,0,4,Resolved
T00198,CU0415,A017,C02,Web,2025-01-24 12:00:00,2025-01-24 18:23:40.393437871,6.39,1,0,4,Resolved
T00199,CU0465,A013,C04,Chat,2025-01-04 09:00:00,2025-01-05 00:57:49.075823415,15.96,1,0,5,Resolved
T00200,CU0682,A005,C06,Web,2025-01-21 10:00:00,2025-01-22 02:12:32.279326110,16.21,1,0,5,Resolved
T00201,CU0205,A003,C04,Chat,2025-12-03 16:00:00,2025-12-04 02:51:16.021473796,10.85,1,1,4,Resolved
T00202,CU0410,A003,C04,Chat,2025-08-01 17:00:00,2025-08-02 05:47:29.337595533,12.79,1,0,5,Resolved
T00203,CU0551,A007,C04,Email,2025-10-21 11:00:00,2025-10-21 22:11:46.316271213,11.2,1,0,4,Resolved
T00204,CU0591,A001,C02,Chat,2025-01-08 12:00:00,2025-01-09 02:37:58.007814776,14.63,1,1,4,Resolved
T00205,CU0489,A010,C02,Chat,2025-01-09 20:00:00,2025-01-10 09:34:54.954139418,13.58,1,0,5,Resolved
T00206,CU0532,A012,C05,Email,2025-11-06 19:00:00,2025-11-08 01:10:45.318227768,30.18,1,0,5,Resolved
T00207,CU0148,A014,C03,Chat,2025-02-07 13:00:00,2025-02-08 02:54:08.035717431,13.9,1,0,5,Resolved
